image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_001_3px.png,gray,0.5,1.0,0.1,greedy,기 (VC,0.379,N/A,2.071
easyOCR_testimg\img_001_3px.png,gray,0.5,1.0,0.1,beamsearch,기 (VC,0.379,N/A,2.319
easyOCR_testimg\img_001_3px.png,gray,0.5,1.0,0.3,greedy,기 (VC,0.379,N/A,2.205
easyOCR_testimg\img_001_3px.png,gray,0.5,1.0,0.3,beamsearch,기 (VC,0.379,N/A,2.304
easyOCR_testimg\img_001_3px.png,gray,0.5,1.8,0.1,greedy,VV(,0.6363,N/A,7.135
easyOCR_testimg\img_001_3px.png,gray,0.5,1.8,0.1,beamsearch,VV(,0.6363,N/A,6.242
easyOCR_testimg\img_001_3px.png,gray,0.5,1.8,0.3,greedy,VV(,0.6363,N/A,6.247
easyOCR_testimg\img_001_3px.png,gray,0.5,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.065
easyOCR_testimg\img_001_3px.png,gray,0.7,1.0,0.1,greedy,기,0.1046,N/A,2.08
easyOCR_testimg\img_001_3px.png,gray,0.7,1.0,0.1,beamsearch,기,0.1046,N/A,2.026
easyOCR_testimg\img_001_3px.png,gray,0.7,1.0,0.3,greedy,기,0.1046,N/A,1.942
easyOCR_testimg\img_001_3px.png,gray,0.7,1.0,0.3,beamsearch,기,0.1046,N/A,2.253
easyOCR_testimg\img_001_3px.png,gray,0.7,1.8,0.1,greedy,VV(,0.6363,N/A,6.82
easyOCR_testimg\img_001_3px.png,gray,0.7,1.8,0.1,beamsearch,VV(,0.6363,N/A,6.384
easyOCR_testimg\img_001_3px.png,gray,0.7,1.8,0.3,greedy,VV(,0.6363,N/A,6.048
easyOCR_testimg\img_001_3px.png,gray,0.7,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.166
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.0,0.1,greedy,기 (VC,0.4087,N/A,1.997
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.0,0.1,beamsearch,기 (VC,0.4087,N/A,2.127
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.0,0.3,greedy,기 (VC,0.4087,N/A,2.236
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.0,0.3,beamsearch,기 (VC,0.4087,N/A,2.362
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.8,0.1,greedy,VV(),0.1002,N/A,6.166
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.8,0.1,beamsearch,VV(),0.1002,N/A,6.454
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.8,0.3,greedy,VV(),0.1002,N/A,6.118
easyOCR_testimg\img_001_3px.png,clahe,0.5,1.8,0.3,beamsearch,VV(),0.1002,N/A,6.437
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.0,0.1,greedy,기 V(,0.346,N/A,2.367
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.0,0.1,beamsearch,기 V(,0.346,N/A,2.329
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.0,0.3,greedy,기 V(,0.346,N/A,1.954
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.0,0.3,beamsearch,기 V(,0.346,N/A,2.222
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.8,0.1,greedy,VV(),0.1002,N/A,6.887
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.8,0.1,beamsearch,VV(),0.1002,N/A,6.387
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.8,0.3,greedy,VV(),0.1002,N/A,6.852
easyOCR_testimg\img_001_3px.png,clahe,0.7,1.8,0.3,beamsearch,VV(),0.1002,N/A,7.011
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.0,0.1,greedy,기 (VC,0.379,N/A,2.445
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.0,0.1,beamsearch,기 (VC,0.379,N/A,2.184
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.0,0.3,greedy,기 (VC,0.379,N/A,2.028
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.0,0.3,beamsearch,기 (VC,0.379,N/A,2.456
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.8,0.1,greedy,VV(,0.6363,N/A,6.533
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.8,0.1,beamsearch,VV(,0.6363,N/A,6.523
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.8,0.3,greedy,VV(,0.6363,N/A,7.043
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.5,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.313
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.7,1.0,0.1,greedy,기,0.1046,N/A,2.086
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.7,1.0,0.1,beamsearch,기,0.1046,N/A,2.208
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.7,1.0,0.3,greedy,기,0.1046,N/A,2.114
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.7,1.0,0.3,beamsearch,기,0.1046,N/A,2.159
